Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/MW-City/70/St+Go;0%;14.39977264;0.449759513;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;0.190928459;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;0.33820346;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;0.571659505;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;0.3382034;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Distr/50/Freeflow;0%;42.95035934;0.216030806;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Distr/50/St+Go;0%;12.48866653;0.338202536;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Distr/60/Freeflow;0%;52.00070953;0.223907322;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Distr/60/St+Go;0%;12.48833656;0.338200361;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;41.66275787;0.19335942;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;12.48863316;0.3382034;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/60/Freeflow;0%;51.16705322;0.222138226;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/60/St+Go;0%;12.48848057;0.33820197;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Access/30/Freeflow;0%;28.912714;0.210973471;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Access/30/St+Go;0%;9.621914864;0.363548815;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Access/40/Freeflow;0%;35.62506104;0.201480031;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Access/40/St+Go;0%;11.82717037;0.334649235;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;MW;RUR/MW/>130/Freeflow;0%;142.7671356;0.737083495;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.519814014;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;0.242811278;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;0.561291218;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;0.220467493;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/MW-City/60/St+Go;0%;13.26994896;0.615372062;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;0.231003433;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/MW-City/70/St+Go;0%;14.39977264;0.57663852;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;0.288880438;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;0.548070192;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;0.316263914;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;0.548076808;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Distr/50/Freeflow;0%;42.95035934;0.316008627;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Distr/50/St+Go;0%;12.48866653;0.548083961;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Distr/60/Freeflow;0%;52.00070953;0.308570355;ØGermany;;
